"brand","cohort","sex","wt","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"5832",2000,"F",15.8,1,2,3,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5833",2000,"F",18.2,1,19,3,19,19,19,7,8,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5835",2000,"F",18.8,1,19,19,19,19,6,7,8,9,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5836",2000,"F",20.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5838",2000,"F",16.8,1,19,3,19,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,18,19,18,18,18,18
"5839",2000,"F",19.4,1,2,3,4,5,6,7,8,9,10,11,19,13,14,15,16,19,19,18,19,19,19,19,19,19
"5840",2000,"F",18.8,1,19,3,4,5,6,7,8,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5843",2000,"F",21,1,2,19,4,5,6,7,8,9,10,19,12,13,19,19,19,19,19,19,19,19,19,19,19,19
"5844",2000,"F",17.4,1,2,3,4,19,6,7,8,19,10,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5845",2000,"F",13.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5846",2000,"F",18.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5848",2000,"F",20.2,1,19,3,4,19,6,7,8,19,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5849",2000,"F",13.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5850",2000,"F",13,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5851",2000,"F",17.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5852",2000,"F",18,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5855",2000,"F",16.4,1,19,3,19,19,6,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
