"brand","cohort","sex","wt","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"5964",2000,"M",23.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5966",2000,"M",22.8,1,19,19,4,5,19,7,8,9,10,11,12,19,14,19,19,19,19,19,19,19,19,19,19,19
"5969",2000,"M",25.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5970",2000,"M",20.2,1,19,19,4,5,19,19,8,9,19,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5974",2000,"M",18.8,1,19,19,19,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5978",2000,"M",15.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5979",2000,"M",20.4,1,19,19,19,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5980",2000,"M",16.8,1,19,3,4,5,6,7,8,9,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5982",2000,"M",22.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5983",2000,"M",17.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5984",2000,"M",20.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5986",2000,"M",21,1,19,3,4,5,6,7,8,9,10,11,12,19,19,19,19,19,19,18,19,19,19,19,19,19
"5987",2000,"M",20,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5988",2000,"M",16.4,1,19,3,4,5,6,7,8,9,10,11,12,13,19,19,19,19,19,19,19,19,19,19,19,19
"5989",2000,"M",19,1,19,3,4,19,6,7,8,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5991",2000,"M",22.4,1,2,3,4,5,6,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5992",2000,"M",18.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5998",2000,"M",18.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5999",2000,"M",16.8,1,19,19,19,19,6,7,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6000",2000,"M",20.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6001",2000,"M",17.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6003",2000,"M",21,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6004",2000,"M",21.6,1,19,3,4,5,6,7,8,9,10,19,19,13,14,15,16,19,19,19,19,19,19,19,19,19
"6005",2000,"M",19.4,1,2,3,4,5,6,7,8,9,10,19,12,13,14,15,19,19,19,19,19,19,19,19,19,19
"6006",2000,"M",27.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6009",2000,"M",17,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6020",2000,"M",15.4,1,19,3,19,19,6,19,8,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6021",2000,"M",17.4,1,19,19,19,19,6,7,8,9,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6029",2000,"M",11.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6031",2000,"M",24.6,1,19,19,4,19,19,19,8,19,19,19,19,19,19,19,16,17,19,19,19,19,19,19,19,19
"6034",2000,"M",24,1,2,19,19,5,6,7,19,9,10,19,12,19,14,15,16,17,19,19,19,19,19,19,19,19
"6035",2000,"M",17.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6037",2000,"M",22.2,1,2,3,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6038",2000,"M",19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6039",2000,"M",21.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6041",2000,"M",21.4,1,19,19,19,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6042",2000,"M",20,1,2,3,4,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6043",2000,"M",20.6,1,2,3,4,5,6,7,8,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6045",2000,"M",20,1,19,3,4,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6047",2000,"M",17.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6048",2000,"M",18.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6049",2000,"M",27.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6050",2000,"M",13.8,1,19,19,19,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6053",2000,"M",16.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6055",2000,"M",18.2,1,2,3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6061",2000,"M",17,1,2,3,4,5,6,7,8,9,10,11,12,19,19,19,19,19,19,19,19,19,19,19,19,19
"6063",2000,"M",17.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6064",2000,"M",17,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6066",2000,"M",22.8,1,19,3,4,19,19,7,8,9,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6070",2000,"M",16,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6072",2000,"M",15.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6074",2000,"M",18,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6075",2000,"M",19,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6077",2000,"M",17.4,1,19,19,4,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6078",2000,"M",17.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6082",2000,"M",16.4,1,19,19,19,19,19,19,19,19,19,19,19,19,14,19,19,19,19,19,19,19,19,19,19,19
"6085",2000,"M",24,1,2,3,4,19,6,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6086",2000,"M",21.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
